Ordinance,Permit Number,Address,City,State,Unit,Unit Type,Vacation Rental or Homestay,Type of Registration,Number of Bedrooms,Maximum Number of Guests,Permit Issue Date,Registration Renewal Date,Civic League,Ward,Superward,Latitude,Longitude,Norfolk AIR Link,Location Point
,ZP25-01739,1139 HILLSIDE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,07/14/2025,07/14/2027,Bayview,5,6,36.94448595,-76.23875535,https://air.norfolk.gov/#/property/25538250,POINT (-76.23875535 36.94448595)
,ZP24-00785,912 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,09/03/2024,09/03/2026,Willoughby,1,6,36.96559728,-76.27619877,https://air.norfolk.gov/#/property/15863000,POINT (-76.27619877 36.96559728)
49427.0,ZP24-00818,9512 18TH BAY STREET,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,3,6,12/05/2023,12/05/2025,East Ocean View,5,6,36.92730543,-76.19672313,https://air.norfolk.gov/#/property/05360500,POINT (-76.19672313 36.92730543)
49986.0,STR25-00041,9527 18TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,East Ocean View,5,6,36.92802024,-76.19757795,https://air.norfolk.gov/#/property/16558230,POINT (-76.19757795 36.92802024)
49316.0,ZP23-00937,9609 19TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,09/12/2023,09/12/2028,East Ocean View,5,6,36.92950174,-76.19558068,https://air.norfolk.gov/#/property/00011132,POINT (-76.19558068 36.92950174)
50015.0,STR25-00047,7936 THOMPSON ROAD,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,2,4,06/24/2025,06/24/2029,East Ocean View,5,6,36.91936279,-76.19564962,https://air.norfolk.gov/#/property/18527580,POINT (-76.19564962 36.91936279)
,ZP24-00086,2008 PARKVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,02/05/2024,02/05/2026,Bayview,5,6,36.93502995,-76.21931921,https://air.norfolk.gov/#/property/26207500,POINT (-76.21931921 36.93502995)
,ZP24-00533,2048 KERSEY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/06/2024,06/06/2026,Bayview,5,6,36.93510404,-76.21733275,https://air.norfolk.gov/#/property/46907300,POINT (-76.21733275 36.93510404)
,ZP25-00706,1051 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,03/31/2025,03/31/2027,Willoughby,1,6,36.96680094,-76.27994109,https://air.norfolk.gov/#/property/00000599,POINT (-76.27994109 36.96680094)
49919.0,ZP25-01058,3109 PLEASANT AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,04/08/2025,04/08/2030,East Ocean View,5,6,36.93078226,-76.20435009,https://air.norfolk.gov/#/property/00940279,POINT (-76.20435009 36.93078226)
49496.0,ZP24-00237,9563 20TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/27/2024,02/27/2026,East Ocean View,5,6,36.92809948,-76.19472811,https://air.norfolk.gov/#/property/03627700,POINT (-76.19472811 36.92809948)
49432.0,ZP24-00347,2450 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,12/05/2023,12/05/2025,East Ocean View,5,6,36.93482996,-76.21103923,https://air.norfolk.gov/#/property/31308100,POINT (-76.21103923 36.93482996)
,ZP24-00717,9721 13TH VIEW STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,08/08/2024,08/08/2026,Willoughby,1,6,36.96798548,-76.2884852,https://air.norfolk.gov/#/property/06281345,POINT (-76.2884852 36.96798548)
49970.0,ZP25-01540,1238 VIRGILINA AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,Bayview,5,6,36.94296123,-76.23736319,https://air.norfolk.gov/#/property/04633000,POINT (-76.23736319 36.94296123)
49565.0,ZP24-00399,9615 17TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,04/23/2024,04/23/2029,East Ocean View,5,6,36.93003201,-76.19808314,https://air.norfolk.gov/#/property/46426200,POINT (-76.19808314 36.93003201)
,ZP24-01011,9600 18TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,11/15/2024,11/15/2026,East Ocean View,5,6,36.92933208,-76.19639307,https://air.norfolk.gov/#/property/49407500,POINT (-76.19639307 36.92933208)
,ZP25-01619,1667 E BAYVIEW BOULEVARD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,1,2,06/27/2025,06/27/2027,Bayview,5,6,36.9337582,-76.22907122,https://air.norfolk.gov/#/property/42052005,POINT (-76.22907122 36.9337582)
,ZP25-00565,6361 GLENOAK DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,Greenhill Farms,3,7,36.89634772,-76.2514389,https://air.norfolk.gov/#/property/04267800,POINT (-76.2514389 36.89634772)
47348.0,ZP25-00279,1333 BAYVILLE STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,07/23/2018,,Willoughby,1,6,36.96455702,-76.28945853,https://air.norfolk.gov/#/property/24783055,POINT (-76.28945853 36.96455702)
